intensity,class,expected_label,predicted_label,confidence,if_score,correct,explanation
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.842,0.5542,True,RF classifier: SYN Flood (84% confidence) | next: Port Scan (14%) | IF score 55%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.889,0.5502,True,RF classifier: SYN Flood (89% confidence) | next: Port Scan (11%) | IF score 55%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.844,0.5556,True,RF classifier: SYN Flood (84% confidence) | next: Port Scan (15%) | IF score 56%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.851,0.5482,True,RF classifier: SYN Flood (85% confidence) | next: Port Scan (15%) | IF score 55%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.81,0.5513,True,RF classifier: SYN Flood (81% confidence) | next: Port Scan (19%) | IF score 55%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.929,0.555,True,RF classifier: SYN Flood (93% confidence) | IF score 56%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.987,0.5556,True,RF classifier: SYN Flood (99% confidence) | IF score 56%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.96,0.5571,True,RF classifier: SYN Flood (96% confidence) | IF score 56%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.885,0.555,True,RF classifier: SYN Flood (88% confidence) | IF score 56%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.952,0.5577,True,RF classifier: SYN Flood (95% confidence) | IF score 56%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.923,0.5571,True,RF classifier: SYN Flood (92% confidence) | IF score 56%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.965,0.5556,True,RF classifier: SYN Flood (97% confidence) | IF score 56%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.947,0.5571,True,RF classifier: SYN Flood (95% confidence) | IF score 56%
strong,SYN Flood,Likely SYN Flood,Suspicious Behavioral Traffic,0.0,0.5517,False,"IF score 55% | elevated: syn_rate, udp_rate, ack_rate, rst_rate, unique_dst_ports, total_rate"
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.894,0.5563,True,RF classifier: SYN Flood (89% confidence) | next: Port Scan (10%) | IF score 56%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.952,0.5556,True,RF classifier: SYN Flood (95% confidence) | IF score 56%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.875,0.5556,True,RF classifier: SYN Flood (88% confidence) | IF score 56%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.795,0.5542,True,RF classifier: SYN Flood (80% confidence) | next: Port Scan (19%) | IF score 55%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.852,0.5509,True,RF classifier: SYN Flood (85% confidence) | next: Port Scan (15%) | IF score 55%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.878,0.5509,True,RF classifier: SYN Flood (88% confidence) | next: Port Scan (12%) | IF score 55%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.913,0.5556,True,RF classifier: SYN Flood (91% confidence) | IF score 56%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.967,0.555,True,RF classifier: SYN Flood (97% confidence) | IF score 56%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.794,0.5563,True,RF classifier: SYN Flood (79% confidence) | next: Port Scan (20%) | IF score 56%
strong,SYN Flood,Likely SYN Flood,Likely SYN Flood,0.79,0.5517,True,RF classifier: SYN Flood (79% confidence) | next: Port Scan (19%) | IF score 55%
strong,SYN Flood,Likely SYN Flood,Suspicious Behavioral Traffic,0.0,0.5603,False,"IF score 56% | elevated: syn_rate, udp_rate, ack_rate, rst_rate, unique_dst_ports, total_rate"
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.966,0.5677,True,RF classifier: Port Scan (97% confidence) | IF score 57%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.989,0.5523,True,RF classifier: Port Scan (99% confidence) | IF score 55%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.854,0.5469,True,RF classifier: Port Scan (85% confidence) | next: SYN Flood (15%) | IF score 55%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.956,0.5556,True,RF classifier: Port Scan (96% confidence) | IF score 56%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.995,0.5544,True,RF classifier: Port Scan (100% confidence) | IF score 55%
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.902,0.555,True,RF classifier: Port Scan (90% confidence) | IF score 56%
strong,Port Scan,Likely Port Scan,Suspicious Behavioral Traffic,0.0,0.5509,False,"IF score 55% | elevated: syn_rate, udp_rate, ack_rate, rst_rate, unique_dst_ports, total_rate"
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.976,0.5607,True,RF classifier: Port Scan (98% confidence) | IF score 56%
strong,Port Scan,Likely Port Scan,Suspicious Behavioral Traffic,0.0,0.5523,False,"IF score 55% | elevated: syn_rate, udp_rate, ack_rate, rst_rate, unique_dst_ports, total_rate"
strong,Port Scan,Likely Port Scan,Likely Port Scan,0.997,0.5536,True,RF classifier: Port Scan (100% confidence) | IF score 55%
